Name,Ticker,CIK,Scope
US Bankcorp,USB,36104,In
American Express Company,AXP,4962,In
Capital One Financial Corporation,COF,927628,In
Fifth Third Bancorp,FITB,35527,In
Huntington Bancshares Incorporated,HBAN,49196,In
Keycorp,KEY,91576,In
Morgan Stanley,MS,895421,In
JPMorgan Chase,JPM,19617,In
Citigroup Inc,C,831001,In
Wells Fargo,WFC,72971,In
Bank of America,BAC,70858,In
PNC Bank,PNC,713676,In
Goldman Sachs,GS,886982,Out
Truist Financial Corporation,TFC,92230,Out
Ally Financial Inc,ALLY,40729,Out
Citizens Financial Group,CFG,759944,In
BankUnited,BKU,1504008,Out
